Name,Date,Location,Type,Region,Latitude,Longitude,Weather Code,Max Temperature,Min Temperature,Weather Forecast
Zakir Khan Live,3/24/2024, The Moore Theatre,Theatre,Downtown,42.2896932,-83.7207314,63,8.6,3.3,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.06496906280517578, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [63], 'temperature_2m_max': [8.6], 'temperature_2m_min': [3.3]}}"
Nirvana: Taking Punk To the Masses,Ongoing, MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,3,9.4,1.9,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.09000301361083984, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 41.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.4], 'temperature_2m_min': [1.9]}}"
Aan,4/4/2024, Sunset Tavern,Music,Fremont / Ballard,36.0254577,-114.9637699,3,18.4,9.8,"{'latitude': 36.026024, 'longitude': -114.974945, 'generationtime_ms': 0.04398822784423828, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 615.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [18.4], 'temperature_2m_min': [9.8]}}"
Caetano Veloso,3/27/2024, The Moore Theatre,Music,Downtown,42.2896932,-83.7207314,63,8.6,3.3,"{'latitude': 42.292328, 'longitude': -83.736755, 'generationtime_ms': 0.07402896881103516, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 263.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [63], 'temperature_2m_max': [8.6], 'temperature_2m_min': [3.3]}}"
Becky Selengut: Misunderstood Vegetables,4/3/2024, Town Hall Seattle,Readings & Lectures,Downtown,47.6090191,-122.32993774092222,3,9.2,1.7,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.07700920104980469, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 77.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.2], 'temperature_2m_min': [1.7]}}"
Underwater Dome,Ongoing, Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,3,9.7,2.2,"{'latitude': 47.621212, 'longitude': -122.33498, 'generationtime_ms': 0.0749826431274414, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 3.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.7], 'temperature_2m_min': [2.2]}}"
Dale Chihuly at Tacoma Art Museum,Ongoing, Tacoma Art Museum,Museums,South,47.2475134,-122.43680521780016,3,10.2,1.5,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.0699758529663086, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 19.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [10.2], 'temperature_2m_min': [1.5]}}"
Washington: My Home,Ongoing, Washington State History Museum,Museums,South,47.2447212,-122.43608807502436,3,10.2,1.5,"{'latitude': 47.244843, 'longitude': -122.42595, 'generationtime_ms': 0.08499622344970703, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 18.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [10.2], 'temperature_2m_min': [1.5]}}"
Kendra Morris,3/13/2024, Sunset Tavern,Music,Fremont / Ballard,36.0254577,-114.9637699,3,18.4,9.8,"{'latitude': 36.026024, 'longitude': -114.974945, 'generationtime_ms': 0.06699562072753906, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 615.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [18.4], 'temperature_2m_min': [9.8]}}"
"Anida Yoeu Ali: Hybrid Skin, Mythical Presence",Now through 7/7/2024, Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,3,9.3,1.1,"{'latitude': 47.628304, 'longitude': -122.29689, 'generationtime_ms': 0.07092952728271484, 'utc_offset_seconds': 0, 'timezone': 'GMT', 'timezone_abbreviation': 'GMT', 'elevation': 137.0, 'daily_units': {'time': 'iso8601', 'weather_code': 'wmo code', 'temperature_2m_max': '°C', 'temperature_2m_min': '°C'}, 'daily': {'time': ['2024-03-08'], 'weather_code': [3], 'temperature_2m_max': [9.3], 'temperature_2m_min': [1.1]}}"
